Protein IDs	Protein Names	Gene Names	Protein Descriptions	Uniprot IDs	RefSeq protein IDs	Refseq mRNA ID	ENSEMBL ID	MGI ID	Protein length [amino acids]	Protein molecular weight [kDa]	Protein copy number experiment [molecules/cell]	Protein copy number replicate [molecules/cell]	Protein copy number average [molecules/cell]	mRNA copy number experiment [molecules/cell]	mRNA copy number replicate [molecules/cell]	mRNA copy number average [molecules/cell]	Protein half-life experiment [h]	Protein half-life replicate [h]	Protein half-life average [h]	mRNA half-life experiment [h]	mRNA half-life replicate [h]	mRNA half-life average [h]	transcription rate (vsr) experiment [molecules/(cell*h)]	transcription rate (vsr) replicate [molecules/(cell*h)]	transcription rate (vsr) average [molecules/(cell*h)]	translation rate constant (ksp) experiment [molecules/(mRNA*h)]	translation rate constant (ksp) replicate [molecules/(mRNA*h)]	translation rate constant (ksp) average [molecules/(mRNA*h)]
"IPI00229543.3;IPI00221463.3;IPI00265761.6;IPI00229545.3;IPI00229544.3"	"Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 1;Histone H2A type 1-K;Histone H2A type 1-H"	"Hist1h2af;Hist3h2a;Hist1h2ab;Hist1h2ac;Hist1h2ad;Hist1h2ae;Hist1h2ag;Hist1h2ai;Hist1h2an;Hist1h2ao;Hist1h2ak;Hist1h2ah"	"Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 1;Histone H2A type 1-K;Histone H2A type 1-H"	"Q8CGP5;Q61668;Q8BFU2;A2AB79;P22752;B2RVF0;Q8CGP7;Q8CGP6;A0AUV1;A3KPD0"	"NP_783592;NP_835736;NP_783591;NP_835489;NP_835491;NP_835492;NP_835493;NP_835494;NP_835495;NP_835496;XP_983435;NP_835490;NP_783590"		"ENSMUST00000073261;ENSMUST00000108817;ENSMUST00000070124;ENSMUST00000078369;ENSMUST00000081342;ENSMUST00000090776;ENSMUST00000091708;ENSMUST00000091741;ENSMUST00000091745;ENSMUST00000091751;ENSMUST00000102969;ENSMUST00000074752;ENSMUST00000091742"	"MGI:2448309;MGI:2448458;MGI:2448306;MGI:2448287;MGI:2448289;MGI:2448290;MGI:2448293;MGI:2448457;MGI:2448300;MGI:2448302;MGI:2448297;MGI:2448295"	130	14,16	16220221,02	13118976,02	14587415,49	NA	NA	NA	121,11	74,06	94,71	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00624840.2;IPI00623776.3;IPI00624933.1;IPI00844736.1;IPI00329998.3;IPI00621374.1;IPI00621789.1;IPI00874920.1;IPI00876005.1;IPI00407339.7"	Histone H4	"Hist1h4a;Hist1h4b;H4-53;Hist1h4c;H4-12;Hist1h4d;Hist1h4f;Hist1h4h;Hist1h4i;Hist1h4j;Hist1h4k;Hist1h4m;Hist2h4a;Hist2h4;Hist4h4"	"12 kDa protein;similar to histone H4;12 kDa protein;12 kDa protein;11 kDa protein;11 kDa protein;11 kDa protein;11 kDa protein;11 kDa protein;Histone H4"	"P62806;B2RTM0;Q61667;Q6B822"	"XP_981474;NP_291074;NP_694813;NP_783583;NP_783585;NP_783586;NP_783587;NP_783588;NP_835499;NP_835500;NP_835515;NP_835582;NP_835583;XP_001476113"		"ENSMUST00000073009;ENSMUST00000075596;ENSMUST00000076545;ENSMUST00000078578;ENSMUST00000079030;ENSMUST00000079084;ENSMUST00000082036;ENSMUST00000087714;ENSMUST00000090778;ENSMUST00000091702;ENSMUST00000091713;ENSMUST00000091746;ENSMUST00000091747;ENSMUST00000102964;ENSMUST00000102965;ENSMUST00000102967;ENSMUST00000102968;ENSMUST00000102971;ENSMUST00000102972;ENSMUST00000102977;ENSMUST00000102979;ENSMUST00000102983;ENSMUST00000102984;ENSMUST00000104941"	"MGI:2448419;MGI:2448420;MGI:2448421;MGI:2448423;MGI:2448425;MGI:2448427;MGI:2448432;MGI:2448436;MGI:2448439;MGI:2448441;MGI:2140113;MGI:2448443"	105	11,63	13147385,99	16763059,56	14845552,01	NA	NA	NA	114,25	95,85	104,65	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00110850.1;IPI00473320.2;IPI00874780.1;IPI00857335.1;IPI00754167.2;IPI00454053.7"	"Actin, cytoplasmic 1;Beta-actin;Actin, cytoplasmic 1, N-terminally processed;Putative uncharacterized protein"	Actb	"Actin, cytoplasmic 1;Putative uncharacterized protein"	"P60710;B2RRX1;Q3TIJ9;Q3U5R4;Q3UA89;Q3UAA9;Q3UAF6;Q3UAF7;Q3UBP6;Q3UGS0;Q61276;Q3U804;Q3U939;Q3UBQ4;Q3UCF8"	NP_031419	NM_007393	"ENSMUST00000031564;ENSMUST00000100497"	"MGI:87904;MGI:87904"	375	41,74	12721003,93	18941495,63	15522720,13	2397,59	1996,28	2187,76	62,29	61,56	61,92	14,28	8,8	11,21	170,63	194,77	182,3	191,8	312,82	244,95
"IPI00348270.3;IPI00124518.3"	"Histone H2B type 2-B;H2b 616"	Hist2h2bb	Histone H2B type 2-B	Q64525	NP_783597		"ENSMUST00000018246;ENSMUST00000051091;ENSMUST00000079251;ENSMUST00000091704;ENSMUST00000110429;ENSMUST00000110430"	MGI:2448413	126	13,92	12085784,31	10605246,25	11321339,08	NA	NA	NA	103,03	84,82	93,48	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00282848.1;IPI00230730.4;IPI00659000.1;IPI00886422.1;IPI00831580.1"	Histone H3.2	"Hist1h3b;H3-53;H3.2;H3b;Hist1h3c;H3-143;Hist1h3d;H3-B;Hist1h3e;H3-F;Hist1h3f;H3.2-221;H3f;Hist2h3b;H3.2-616;Hist2h3c1;H3.2-615;Hist2h3ca1;Hist2h3c2;H3.2-614;Hist2h3ca2"	"histone cluster 2, H3c1;Histone H3.2;predicted gene 12657;15 kDa protein"	"P84228;A1L0U3;B9EI85"	"NP_835734;NP_038576;NP_473386;NP_783584;NP_835510;NP_835511;NP_835512;NP_835587;NP_001074488"		"ENSMUST00000075558;ENSMUST00000090779;ENSMUST00000091703;ENSMUST00000091711;ENSMUST00000098843;ENSMUST00000099704;ENSMUST00000105105;ENSMUST00000105107"	"MGI:2448319;MGI:2448320;MGI:2448322;MGI:2448326;MGI:2448329;MGI:2448351;MGI:2448355;MGI:2448357"	181	20,25	9239395,28	7575910,77	8366411,07	NA	NA	NA	82,21	77,2	79,67	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00470152.2;IPI00755353.2;IPI00660718.1;IPI00342013.3;IPI00890072.1"	"40S ribosomal protein S27a;Putative uncharacterized protein"	"Rps27a;Uba80;Ubcep1"	"ribosomal protein S27a;similar to fusion protein: ubiquitin (bases 43_513); ribosomal protein S27a;similar to ubiquitin/40S ribosomal protein S27a fusion protein isoform 2"	"P62983;Q642L7;Q3TWD1"	"NP_001029037;NP_077239;XP_001481004;XP_889611;XP_001002242;XP_930453"	NM_001033865	"ENSMUST00000078766;ENSMUST00000102844;ENSMUST00000102845"	"MGI:1925544;MGI:1925544"	156	17,95	5065357	5070884,31	5068119,9	12,15	13,46	12,79	10,88	11,59	11,23	9,9	10,64	10,26	1,12	1,13	1,13	36749	30555	33509,19
"IPI00307837.6;IPI00831365.1;IPI00831184.1;IPI00849577.1"	"Elongation factor 1-alpha 1;eEF1A-1;Elongation factor Tu"	"Eef1a1;Eef1a"	"Elongation factor 1-alpha 1;28 kDa protein"	"P10126;Q3TII3;Q3UA81;Q3UZQ3;Q4FZE5;Q58E64"	NP_034236	NM_010106	ENSMUST00000042235	MGI:1096881	462	50,11	4606688,75	6080780,35	5292661,19	3605,71	2892,61	3229,54	108,33	147,32	126,33	14,96	20,47	17,5	248,79	155,82	196,89	40,19	55,92	47,4
"IPI00124096.1;IPI00918751.1"	"Protein S100-A4;S100 calcium-binding protein A4;Metastasin;Protein Mts1;Metastatic cell protein;Placental calcium-binding protein;18A2;PEL98"	"S100a4;Capl;Mts1"	"Protein S100-A4;12 kDa protein"	"P07091;Q545V2"	NP_035441	NM_011311	ENSMUST00000001046	MGI:1330282	101	11,72	4449465,27	3202989,33	3775127,78	1779,5	1872,7	1825,51	142,21	150,28	146,19	14,61	17,28	15,89	124,7	112,2	118,28	74,85	45,31	58,24
IPI00229517.5	"Galectin-1;Lectin galactoside-binding soluble 1;Beta-galactoside-binding lectin L-14-I;S-Lac lectin 1;Galaptin;14 kDa lectin"	"Lgals1;Gbp"	Galectin-1	P16045	NP_032521	NM_008495	ENSMUST00000089377	MGI:96777	135	14,87	3858745,58	3650444,25	3753150,09	2743	1840,77	2247,05	156,95	NA	156,95	17,28	10,99	13,78	172,73	NA	172,73	41,5	NA	41,5
IPI00223713.5	"Histone H1.2;H1 VAR.1;H1c"	"Hist1h1c;H1f2"	Histone H1.2	"P15864;Q3UXH2;Q5SZA3"	NP_056601	NM_015786	ENSMUST00000040914	MGI:1931526	212	21,27	3666567,71	2282218,87	2892734,01	3,88	4,79	4,31	62,07	52,31	56,98	4,58	3,25	3,85	0,67	1,1	0,86	33859	16469	23614,06
